,[] -  / Time ,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20
0,SUPPRELIN LA IMPLANT (J9226) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SUPPRELIN LA IMPLANT (J9226) - Dose USD ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,$0.00 ,,$0.00 ,,,,,$0.00 ,,,,,$0.00 ,,,,,$0.00 ,$0.00 ,,,,,,,$0.00 ,,,,,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SYNAGIS (C9003) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SYNAGIS (C9003) - Dose USD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00 ,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,
4,SYNERCID (J2770) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SYNERCID (J2770) - Dose USD ,,$0.00 ,$0.00 ,,,,,,$0.00 ,,,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,,,,,,,,,,,,,,,,,$0.00 ,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SYNVISC (J7322) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SYNVISC (J7322) - Dose USD ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,$0.00 ,,$0.00 ,,,,$0.00 ,,,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
8,SYNVISC OR SYNVISC-ONE (J7325) - Dose Units ,"37,206","39,582","45,141","40,586","39,003","54,354","41,206","54,101","45,617","42,461","52,585","48,785","35,082","34,832","49,020","39,823","54,051","45,222","37,117","49,195","43,043","48,760","59,346","48,046","46,408","39,334","41,275","42,384","57,234","44,284","39,004","44,957","34,966","52,059","41,658","25,501","26,951","30,069","30,900","31,678","41,168","33,210","33,289","33,803","30,477","33,763","26,412","29,817","26,438","16,182","17,330","29,685","24,233","22,848","24,049","17,290","26,714","23,270","19,534","29,579","12,895","18,531","23,692","19,707","20,221","28,311","19,073","22,584","23,612","17,950","19,745","24,313","15,100","13,278","19,388","16,816","17,026","17,038","10,994","15,205","14,030","15,046","16,221","15,838","9,687","11,219","13,502","10,955","15,495","10,571","9,186","10,162","7,839","9,872","10,307","7,443","6,994","8,142","6,994"
9,SYNVISC OR SYNVISC-ONE (J7325) - Dose USD ,"$28,360,831.59 ","$29,390,822.46 ","$33,160,668.88 ","$30,306,580.85 ","$29,491,045.87 ","$42,620,493.31 ","$33,159,292.32 ","$44,623,911.43 ","$38,264,223.86 ","$36,016,205.73 ","$45,250,444.20 ","$41,807,647.34 ","$29,664,374.45 ","$29,322,709.64 ","$41,627,293.80 ","$34,285,810.97 ","$46,575,638.60 ","$38,819,130.08 ","$31,909,577.69 ","$42,539,506.84 ","$37,021,822.34 ","$41,671,515.00 ","$50,267,367.61 ","$40,864,684.50 ","$40,132,803.06 ","$34,165,512.40 ","$36,239,656.38 ","$37,687,428.96 ","$51,313,142.70 ","$39,605,395.40 ","$34,333,271.00 ","$39,638,407.07 ","$30,931,185.85 ","$45,867,623.13 ","$36,636,648.83 ","$22,530,962.28 ","$23,950,652.97 ","$26,292,859.81 ","$26,994,780.75 ","$27,420,793.58 ","$35,177,726.66 ","$28,332,530.33 ","$27,976,475.07 ","$28,777,677.01 ","$25,741,178.97 ","$28,265,910.92 ","$21,835,790.85 ","$24,261,794.73 ","$21,414,304.12 ","$13,087,313.87 ","$13,985,223.35 ","$23,853,559.86 ","$19,557,787.89 ","$18,506,194.56 ","$19,760,630.42 ","$14,314,650.35 ","$22,455,467.83 ","$20,553,052.98 ","$17,502,024.49 ","$26,776,981.33 ","$12,046,799.14 ","$17,005,945.03 ","$21,765,413.94 ","$16,926,539.37 ","$17,232,791.17 ","$23,862,209.46 ","$15,319,004.46 ","$18,153,866.10 ","$19,024,755.09 ","$14,628,173.00 ","$16,325,017.91 ","$20,451,074.45 ","$15,268,440.50 ","$13,273,551.87 ","$19,545,081.58 ","$17,257,840.40 ","$17,516,433.93 ","$16,552,485.15 ","$9,792,383.29 ","$13,765,390.60 ","$12,475,405.85 ","$13,137,377.29 ","$14,002,810.69 ","$13,943,933.58 ","$8,302,655.05 ","$9,645,395.01 ","$13,193,155.25 ","$11,426,830.75 ","$16,304,148.90 ","$11,025,922.99 ","$9,931,811.34 ","$11,410,422.02 ","$8,082,400.95 ","$9,637,095.76 ","$9,764,150.92 ","$6,846,145.83 ","$6,040,256.20 ","$6,776,159.15 ","$5,734,496.70 "
